Driver ID;Type;Weekly Hours;Mon;Tue;Wed;Thu;Fri;Sat
FTE001;FTE;49,50;05:30-20:30 (3er);;05:45-20:30 (3er);17:30-22:00 (1er);08:15-12:45 (1er);05:00-20:15 (3er)
FTE002;FTE;49,50;05:30-20:30 (3er);;07:15-22:45 (3er);17:30-22:00 (1er);08:15-12:45 (1er);05:45-20:45 (3er)
FTE003;FTE;49,50;05:45-21:15 (3er);;07:15-22:30 (3er);17:30-22:00 (1er);16:30-21:00 (1er);05:45-20:15 (3er)
FTE004;FTE;49,50;05:00-09:30 (1er);05:45-20:30 (3er);;07:15-22:00 (3er);13:00-22:30 (2er);10:00-20:30 (2er)
FTE005;FTE;49,50;05:00-09:30 (1er);06:30-22:00 (3er);;07:45-23:00 (3er);13:00-22:30 (2er);10:00-20:30 (2er)
FTE006;FTE;49,50;06:45-21:45 (3er);;06:45-22:15 (3er);12:15-22:15 (2er);14:45-19:15 (1er);06:15-20:15 (2er (Split))
FTE007;FTE;49,50;07:30-23:00 (3er);17:30-22:00 (1er);10:15-14:45 (1er);05:45-21:15 (3er);16:30-21:00 (1er);06:30-20:30 (2er (Split))
FTE008;FTE;49,50;07:30-23:00 (3er);17:30-22:00 (1er);10:15-14:45 (1er);05:45-21:15 (3er);18:00-22:30 (1er);06:30-20:30 (2er (Split))
FTE009;FTE;49,50;07:30-22:30 (3er);;06:00-21:45 (3er);12:00-22:30 (2er);15:30-20:00 (1er);07:00-21:00 (2er (Split))
FTE010;FTE;49,50;07:45-22:45 (3er);;08:15-23:00 (3er);17:30-22:00 (1er);09:30-19:15 (2er);07:00-21:00 (2er (Split))
FTE011;FTE;49,50;07:45-22:45 (3er);17:30-22:00 (1er);10:30-15:00 (1er);05:45-21:30 (3er);15:45-20:15 (1er);07:15-20:15 (2er (Split))
FTE012;FTE;49,50;08:00-23:00 (3er);;10:15-20:30 (2er);08:15-23:00 (3er);18:00-22:30 (1er);07:30-20:30 (2er (Split))
FTE013;FTE;49,50;05:30-15:30 (2er);05:00-20:30 (3er);;08:15-23:00 (3er);16:00-20:30 (1er);07:30-20:30 (2er (Split))
FTE014;FTE;49,50;05:30-15:30 (2er);05:30-20:45 (3er);13:00-22:30 (2er);;06:45-20:45 (2er (Split));07:45-20:45 (2er (Split))
FTE015;FTE;49,50;05:45-15:45 (2er);06:45-22:00 (3er);12:15-22:15 (2er);;06:15-20:15 (2er (Split));07:45-20:45 (2er (Split))
FTE016;FTE;49,50;05:45-15:45 (2er);06:45-21:45 (3er);;08:30-22:30 (2er (Split));10:30-21:00 (2er);08:00-21:00 (2er (Split))
FTE017;FTE;49,50;10:00-20:15 (2er);07:15-22:30 (3er);;08:00-22:00 (2er (Split));10:30-21:00 (2er);08:00-21:00 (2er (Split))
FTE018;FTE;49,50;08:15-18:30 (2er);07:15-22:00 (3er);;08:30-21:30 (2er (Split));08:45-19:15 (2er);07:15-21:15 (2er (Split))
FTE019;FTE;49,50;08:15-18:30 (2er);07:30-22:30 (3er);;08:45-22:00 (2er (Split));10:15-20:00 (2er);07:15-21:15 (2er (Split))
FTE020;FTE;49,50;08:30-22:30 (2er (Split));10:30-20:00 (2er);08:15-22:15 (2er (Split));15:15-19:45 (1er);06:45-22:15 (3er);16:45-21:15 (1er)
FTE021;FTE;49,50;06:30-22:00 (3er);16:15-20:45 (1er);10:15-20:30 (2er);08:15-22:15 (2er (Split));18:15-22:45 (1er);06:15-16:30 (2er)
FTE022;FTE;49,50;06:30-22:00 (3er);16:45-21:15 (1er);08:15-21:30 (2er (Split));08:30-22:30 (2er (Split));18:15-22:45 (1er);06:15-16:30 (2er)
FTE023;FTE;49,50;05:15-15:15 (2er);07:45-21:30 (2er (Split));12:00-22:00 (2er);15:15-19:45 (1er);08:45-21:45 (2er (Split));08:45-19:00 (2er)
FTE024;FTE;49,50;05:15-15:15 (2er);07:45-21:45 (2er (Split));12:00-22:00 (2er);15:15-19:45 (1er);08:00-22:00 (2er (Split));09:00-19:00 (2er)
FTE025;FTE;49,50;10:45-21:00 (2er);08:00-22:00 (2er (Split));13:00-17:30 (1er);07:00-20:15 (2er (Split));10:15-20:45 (2er);09:00-19:00 (2er)
FTE026;FTE;49,50;10:45-21:00 (2er);08:15-22:00 (2er (Split));13:00-17:30 (1er);07:15-20:15 (2er (Split));12:00-22:00 (2er);09:00-19:30 (2er)
FTE027;FTE;49,50;05:30-19:30 (2er (Split));06:30-20:15 (2er (Split));13:00-17:30 (1er);05:30-19:30 (2er (Split));07:00-16:30 (2er);05:45-16:15 (2er)
FTE028;FTE;49,50;05:30-18:30 (2er (Split));07:30-20:30 (2er (Split));13:00-17:30 (1er);05:30-18:30 (2er (Split));06:15-16:30 (2er);05:45-16:15 (2er)
